name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type
MAXI_J1820+070,18 20 22.06,+07 11 05.1,2018-04-25 0:34:34,1200120137,6938.44332,VALIDATED,2018-05-02 22:28:41,2018-05-09,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.4,2018-04-25 23:43:40,1200120138,3551.47227,VALIDATED,2018-05-01 5:12:11,2018-05-10,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 08.4,2018-04-27 8:07:20,1200120139,883.2261,VALIDATED,2018-05-01 7:47:28,2018-05-11,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.5,2018-04-29 13:44:20,1200120140,2426.37278,VALIDATED,2018-05-03 2:10:11,2018-05-13,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 07.4,2018-05-01 7:30:26,1200120141,911.9687,VALIDATED,2018-05-06 22:32:10,2018-05-15,DDT_TOO
MAXI_J1820+070,18 20 21.67,+07 11 12.7,2018-05-02 5:28:47,1200120142,5511.69679,VALIDATED,2018-05-06 23:42:14,2018-05-16,DDT_TOO
MAXI_J1820+070,18 20 21.55,+07 11 16.3,2018-05-03 5:50:32,1200120143,4002.63401,VALIDATED,2018-05-07 20:31:57,2018-05-17,DDT_TOO
MAXI_J1820+070,18 20 21.79,+07 11 15.8,2018-05-04 6:33:09,1200120144,5142,VALIDATED,2018-05-09 2:13:27,2018-05-18,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 08.2,2018-05-05 5:45:40,1200120145,6405.78467,VALIDATED,2018-05-09 4:52:25,2018-05-19,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 22.7,2018-05-06 5:25:57,1200120146,5526.52173,VALIDATED,2018-05-09 22:14:24,2018-05-20,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 10.9,2018-05-07 5:36:17,1200120147,5163.04544,VALIDATED,2018-05-11 22:52:22,2018-05-21,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 12.2,2018-05-08 3:19:17,1200120148,4260.10684,VALIDATED,2018-05-14 22:11:22,2018-05-22,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 08.4,2018-05-09 5:28:40,1200120149,2650,VALIDATED,2018-05-15 0:40:29,2018-05-23,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 10.3,2018-05-10 4:37:47,1200120150,1798.56469,VALIDATED,2018-05-18 21:10:17,2018-05-24,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 09.3,2018-05-11 6:52:20,1200120151,1037.30433,VALIDATED,2018-05-21 23:24:58,2018-05-25,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 08.9,2018-05-12 6:02:33,1200120152,2101.96915,VALIDATED,2018-05-22 2:17:59,2018-05-26,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 08.3,2018-05-13 6:44:53,1200120153,356,VALIDATED,2018-05-22 3:58:49,2018-05-27,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 10.4,2018-05-14 5:55:26,1200120154,20,VALIDATED,2018-05-22 5:02:55,2018-05-28,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.1,2018-05-21 1:44:58,1200120155,1352,VALIDATED,2018-05-25 23:46:16,2018-06-04,DDT_TOO
MAXI_J1820+070,18 20 22.75,+07 11 09.4,2018-05-22 5:36:12,1200120156,6683.97869,VALIDATED,2018-05-27 0:44:22,2018-06-05,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.9,2018-05-23 4:50:04,1200120157,5430.08798,VALIDATED,2018-05-27 2:53:01,2018-06-06,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 07.3,2018-05-24 5:35:54,1200120158,2632,VALIDATED,2018-05-29 19:19:28,2018-06-07,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 09.3,2018-05-25 4:59:00,1200120159,2052.57226,VALIDATED,2018-05-29 20:50:02,2018-06-08,DDT_TOO
MAXI_J1820+070,18 20 22.27,+07 11 11.4,2018-05-26 4:08:50,1200120160,2630.40753,VALIDATED,2018-05-29 22:35:56,2018-06-09,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 07.5,2018-05-27 1:29:57,1200120161,4164.57487,VALIDATED,2018-06-02 4:10:19,2018-06-10,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 07.3,2018-05-28 5:10:00,1200120162,2862.678,VALIDATED,2018-06-02 7:55:04,2018-06-11,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 05.7,2018-05-29 5:54:18,1200120163,3425.99678,VALIDATED,2018-06-02 18:33:39,2018-06-12,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 07.0,2018-05-30 5:02:52,1200120164,2572.59479,VALIDATED,2018-06-03 22:52:02,2018-06-13,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 06.4,2018-05-31 5:46:18,1200120165,3108.69585,VALIDATED,2018-06-04 22:28:57,2018-06-14,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.9,2018-06-01 4:54:52,1200120166,3103.00692,VALIDATED,2018-06-05 16:22:44,2018-06-15,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.9,2018-06-02 5:37:45,1200120167,2582.17,VALIDATED,2018-06-07 20:18:34,2018-06-16,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.4,2018-06-03 4:47:25,1200120168,1385,VALIDATED,2018-06-07 21:33:22,2018-06-17,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.6,2018-06-04 5:52:20,1200120169,2085.57112,VALIDATED,2018-06-08 21:33:01,2018-06-18,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.8,2018-06-05 4:39:21,1200120170,4305.05494,VALIDATED,2018-06-09 19:14:16,2018-06-19,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 06.5,2018-06-06 8:26:23,1200120171,2373,VALIDATED,2018-06-11 17:51:18,2018-06-20,DDT_TOO
